DATE_KEY,INVOICE_NO,PRODUCT_KEY,PRODUCT_DESCRIPTION
20110207,76528,113261,Milk
20110207,16452,113261,Milk
20110207,16715,113261,Milk
20110207,16880,113261,Milk
20110207,62134,113261,Milk
20110207,24574,113261,Milk
20110207,24700,113261,Milk
20110207,24812,113261,Milk
20110207,7617,113261,Milk
20110207,53359,113261,Milk
20110207,53401,113261,Milk
20110207,53428,113261,Milk
20110207,66268,113261,Milk
20110207,66344,113261,Milk
20110207,66793,113261,Milk
20110207,66801,113261,Milk
20110207,66851,113261,Milk
20110207,66871,113261,Milk
20110207,66995,113261,Milk
20110207,67114,113261,Milk
20110207,67253,113261,Milk
20110207,67357,113261,Milk
20110207,79443,113261,Milk
20110207,52308,113261,Milk
20110207,35111,113261,Milk
20110207,35167,113261,Milk
20110207,42056,113261,Milk
20110207,42094,113261,Milk
20110207,42105,113261,Milk
20110207,55798,113261,Milk
20110208,80355,113261,Milk
20110208,80683,113261,Milk
20110208,80755,113261,Milk
20110208,2555,113261,Milk
20110208,2932,113261,Milk
20110208,3004,113261,Milk
20110208,3025,113261,Milk
20110208,17050,113261,Milk
20110208,17156,113261,Milk
20110208,17352,113261,Milk
20110208,17443,113261,Milk
20110208,9281,113261,Milk
20110208,8002,113261,Milk
20110208,73853,113261,Milk
20110208,74407,113261,Milk
20110208,67735,113261,Milk
20110208,80490,113261,Milk
20110208,56008,113261,Milk
20110208,72598,113261,Milk
20110209,97598,113261,Milk
20110209,81042,113261,Milk
20110209,3435,113261,Milk
20110209,3602,113261,Milk
20110209,3607,113261,Milk
20110209,77754,113261,Milk
20110209,78004,113261,Milk
20110209,17777,113261,Milk
20110209,63116,113261,Milk
20110209,74973,113261,Milk
20110209,75402,113261,Milk
20110209,68895,113261,Milk
20110209,69520,113261,Milk
20110209,69582,113261,Milk
20110209,81140,113261,Milk
20110209,81535,113261,Milk
20110130,73489,57416,Bread
20110130,73770,57416,Bread
20110130,74023,57416,Bread
20110130,95379,57416,Bread
20110130,95543,57416,Bread
20110130,95547,57416,Bread
20110130,95653,57416,Bread
20110130,96036,57416,Bread
20110130,70985,57416,Bread
20110130,71097,57416,Bread
20110130,10952,57416,Bread
20110130,11010,57416,Bread
20110130,11016,57416,Bread
20110130,58170,57416,Bread
20110130,43542,57416,Bread
20110130,20482,57416,Bread
20110130,20514,57416,Bread
20110130,20639,57416,Bread
20110130,4143,57416,Bread
20110130,4191,57416,Bread
20110130,48041,57416,Bread
20110130,48102,57416,Bread
20110130,48186,57416,Bread
20110130,48279,57416,Bread
20110130,48395,57416,Bread
20110130,48614,57416,Bread
20110130,64468,57416,Bread
20110130,64487,57416,Bread
20110130,64553,57416,Bread
20110130,64727,57416,Bread
20110130,65341,57416,Bread
20110130,57052,57416,Bread
20110130,57435,57416,Bread
20110130,57782,57416,Bread
20110130,57835,57416,Bread
20110130,58042,57416,Bread
20110130,58135,57416,Bread
20110130,73140,57416,Bread
20110130,73326,57416,Bread
20110130,52276,57416,Bread
20110130,68397,57416,Bread
20110130,68562,57416,Bread
20110131,87529,57416,Bread
20110131,88202,57416,Bread
20110131,74343,57416,Bread
20110131,74385,57416,Bread
20110131,74391,57416,Bread
20110131,96414,57416,Bread
20110131,96601,57416,Bread
20110131,96677,57416,Bread
20110131,11972,57416,Bread
20110131,44064,57416,Bread
20110131,4258,57416,Bread
20110131,65518,57416,Bread
20110131,65543,57416,Bread
20110131,65565,57416,Bread
20110131,65627,57416,Bread
20110131,65723,57416,Bread
20110131,58321,57416,Bread
20110131,58477,57416,Bread
20110131,58802,57416,Bread
20110131,59197,57416,Bread
20110131,59250,57416,Bread
20110131,74383,57416,Bread
20110131,74466,57416,Bread
20110131,40466,57416,Bread
20110201,88732,57416,Bread
20110201,97163,57416,Bread
20110201,97412,57416,Bread
20110201,97803,57416,Bread
20110201,72462,57416,Bread
20110201,72511,57416,Bread
20110201,72543,57416,Bread
20110201,72674,57416,Bread
20110201,59467,57416,Bread
20110201,5173,57416,Bread
20110201,22025,57416,Bread
20110201,22174,57416,Bread
20110201,22443,57416,Bread
20110201,4490,57416,Bread
20110201,4585,57416,Bread
20110201,49637,57416,Bread
20110201,49728,57416,Bread
20110201,66721,57416,Bread
20110201,67025,57416,Bread
20110201,67158,57416,Bread
20110201,67167,57416,Bread
